sep=,
time_ms,cost_min
1997.1,204.008564
2000.6,204.003471
2002.3,203.727320
2017.6,203.721177
2060.8,203.676289
2064.3,203.639100
2067.8,203.614719
2071.3,203.513116
2074.8,203.503672
2077.3,203.241411
2080.8,203.138407
2083.4,202.491243
2086.4,202.414931
2090.2,202.397396
2093.5,202.268072
2096.6,202.037293
2100.2,201.966097
2103.6,201.874949
2109.3,201.803925
2112.1,201.801830
2114.9,201.795529
2118.0,201.584187
2120.8,201.421875
2132.6,201.171295
2133.5,201.145349
2136.1,201.122111
2137.4,200.987989
2140.7,200.627573
2143.1,200.405045
2144.5,200.352011
2162.9,195.510152
2165.3,194.913549
2167.6,194.716887
2180.1,194.222456
2182.0,193.861948
2184.1,193.505388
2185.5,193.198682
2186.3,193.101006
2197.2,192.966660
2207.4,192.783010
2208.8,192.778214
2212.4,192.494174
2215.9,192.490268
2222.5,192.226925
2226.2,192.217339
2229.7,192.205519
2231.8,191.418393
2234.5,191.189157
2248.1,191.071601
2252.2,190.638133
2256.5,190.134162
2260.1,189.765834
2263.3,189.393606
2266.5,188.787894
2270.2,188.511825
2274.5,188.334109
2278.3,187.886971
2281.6,187.874461
2284.8,187.854672
2291.5,187.695952
2294.3,187.529124
2308.2,186.809307
2311.2,186.424749
2438.0,186.267223
2444.8,186.098263
2446.5,186.019589
2449.5,185.851469
2454.5,185.743572
2457.6,185.698154
2460.6,185.647530
2463.0,185.631386
2478.4,185.457941
2481.1,185.112676
2483.3,184.696993
2485.6,184.500506
2487.2,184.460351
2488.4,184.389629
2490.9,184.231952
2506.1,184.151446
2517.3,182.651366
2520.1,182.103893
2521.9,181.986536
2524.6,181.950728
2526.3,180.935987
2527.8,180.856568
2529.7,180.821062
2532.9,180.671791
2536.1,180.249127
2539.1,180.098286
2542.3,180.021629
2545.5,180.001194
2548.2,179.915103
2550.8,179.910806
2554.3,179.903902
2560.7,179.336225
2574.3,179.290836
2577.4,179.285781
2581.1,179.091498
2583.8,178.261649
2593.9,178.016111
2596.2,177.593104
2598.0,176.939302
2599.4,176.832838
2602.0,176.756694
2604.7,175.288808
2606.8,175.287268
2609.2,174.718348
2612.6,174.685116
2615.5,174.611875
2618.1,174.600382
2638.8,174.177093
2642.4,173.973673
2645.9,173.961384
2647.9,173.932776
2660.3,173.640791
2663.3,173.560556
2679.8,173.438277
2681.4,173.120102
2682.1,172.923000
2694.7,172.886486
2697.1,172.765927
2730.2,172.736026
2732.8,172.721014
2735.0,172.514504
2748.9,171.837990
2751.6,171.668115
2752.8,171.653481
2765.8,171.633744
2767.8,171.623449
2784.0,171.567821
2786.0,171.518748
2794.7,171.505795
2797.9,171.434992
2815.3,171.368463
2827.3,171.360410
2829.0,171.329935
2831.2,171.114230
2845.0,171.071872
2848.2,170.934138
2861.9,170.495538
2867.7,170.490792
2904.5,170.485587
2907.7,170.363276
2909.2,170.355590
2921.2,170.299575
2923.5,170.298095
2937.2,170.277270
2940.4,170.239177
2952.5,170.078996
2954.7,170.012119
2957.9,169.968820
2991.2,169.928334
3003.9,169.917651
3006.0,169.893833
3007.2,169.829836
3010.1,169.827174
3011.4,169.771037
3027.6,169.699580
3039.4,169.483079
3041.6,169.404675
3043.7,169.320858
3045.3,169.086684
3058.5,169.028050
3061.4,168.960989
3063.7,168.570650
3065.4,168.556842
3067.0,168.554859
3069.5,168.474308
3075.0,168.253248
3077.0,168.138522
3079.1,168.135543
3081.3,168.106292
3083.8,167.885038
3086.4,167.836834
3125.9,167.676687
3248.8,167.658327
3250.9,167.620808
3252.6,167.617117
3266.6,167.594258
3268.9,167.317037
3269.7,167.313783
3281.8,167.284065
3285.6,167.206501
3287.6,167.172946
3290.5,167.163087
3319.0,167.142371
3328.2,167.022943
3340.8,166.942400
3381.8,166.752766
3383.1,166.624317
3406.6,166.567692
3407.9,166.546571
