sep=,
time_ms,cost_min
415.9,321.920475
418.6,321.884974
419.7,321.024313
421.0,320.843401
434.6,320.790968
436.5,320.479032
438.1,320.475213
439.1,320.318211
440.5,320.203524
443.1,320.027272
444.0,319.993712
444.8,319.246039
446.2,319.215829
447.8,318.761879
449.7,318.622117
451.3,318.388386
452.4,318.330433
454.0,318.120696
454.8,317.693959
456.4,317.613136
458.8,317.600566
459.3,317.296989
460.8,316.992502
461.9,316.595037
464.3,316.512496
465.6,316.331567
466.7,316.044365
468.1,315.481897
470.2,315.385624
471.5,315.162865
472.6,314.980123
473.9,314.835365
475.4,314.508960
477.1,314.491896
478.1,314.190796
491.6,314.020626
493.9,313.769192
495.4,313.768183
497.2,313.641820
508.9,313.434304
510.8,313.170593
512.1,312.422319
513.4,312.186593
513.6,312.007787
514.2,311.590636
515.5,311.434343
527.9,311.248438
529.8,310.873665
531.8,310.615743
533.5,310.512169
535.0,310.181548
536.3,310.132546
537.5,309.678289
538.4,309.272137
539.6,309.250644
541.3,309.237992
542.3,308.869521
544.3,308.429122
544.7,308.210941
557.5,308.004171
559.5,307.941813
560.6,307.819486
574.6,307.638694
576.6,307.369220
577.6,307.009083
578.9,306.284423
580.4,306.158757
581.9,306.001318
582.7,305.781905
584.4,305.764112
587.4,305.484455
588.9,305.432188
590.5,305.387844
591.3,305.386041
603.3,304.920691
605.2,304.499832
606.6,304.245743
609.1,304.174993
617.5,304.108157
618.4,303.932964
620.6,303.900146
623.0,303.835836
625.0,303.802049
625.6,303.537598
626.7,303.513141
626.9,302.380670
628.4,301.405120
632.2,300.903937
644.5,300.833624
646.5,300.411523
647.8,300.338993
651.1,300.338259
652.4,300.243340
654.6,299.875077
658.4,299.801515
671.0,299.234995
672.8,299.039409
675.7,298.893413
676.6,298.618398
688.9,298.583720
691.0,298.402255
692.6,297.101041
694.7,296.644503
697.4,295.765916
699.4,295.585272
702.7,295.569433
704.6,293.923561
707.8,293.910958
710.5,293.782625
711.4,293.506673
712.5,292.934367
715.0,292.659769
717.6,292.534397
719.8,292.360654
721.1,292.041155
724.1,291.746583
725.0,291.642555
726.4,291.544151
728.9,291.434569
730.2,291.180958
731.5,290.826053
734.1,290.143530
736.7,290.136008
738.4,289.996323
752.7,289.871907
754.6,289.858160
756.2,289.632174
757.7,289.397776
758.9,289.192805
761.2,287.818244
762.5,287.145900
763.5,284.923607
764.5,284.808315
776.5,284.420223
778.5,283.941184
780.1,283.855802
781.9,283.687813
783.3,283.009287
784.0,281.516436
795.1,280.557039
796.4,280.539212
798.2,280.516714
811.0,279.102409
812.2,278.706515
813.0,278.251159
824.4,277.934949
826.3,277.859709
828.3,277.475221
830.8,277.467073
831.9,277.388568
834.3,276.743228
836.4,276.607445
838.7,276.147268
840.1,275.917064
841.8,275.751120
844.7,275.127637
847.5,273.761627
849.0,273.347959
850.3,273.074719
853.6,272.810047
854.9,272.761852
856.2,271.833883
859.6,271.466988
861.1,270.868526
864.0,270.857286
865.2,270.737203
868.0,270.682531
871.8,270.462179
872.9,270.234865
876.8,270.162229
888.0,269.884548
889.9,269.554626
892.7,268.946183
897.2,268.926466
898.7,268.828841
899.8,268.766443
902.6,268.133920
903.5,267.987640
907.7,267.551275
908.9,267.495228
912.7,267.221798
915.1,267.171132
917.7,267.008501
929.5,266.559358
930.6,266.483919
942.0,266.363197
944.0,266.075223
947.8,266.072133
949.6,266.059384
952.9,265.860364
955.1,265.618489
958.7,265.383535
960.5,265.376046
961.7,264.701062
963.9,264.614849
964.7,264.377372
966.4,263.977957
978.4,263.807628
980.3,263.661842
982.6,263.525131
994.9,263.328928
996.7,262.343474
998.0,261.822785
998.5,261.814172
1010.2,261.676424
1012.0,260.880564
1025.9,260.435312
1027.8,260.352602
1029.6,259.838585
1030.9,259.798467
1033.8,259.751589
1035.8,259.744230
1047.7,259.284886
1049.6,259.269059
1051.2,259.192309
1053.6,259.137611
1055.4,259.122342
1058.0,259.087230
1060.8,259.044865
1075.4,258.981599
1077.2,258.778038
1080.5,258.481132
1085.6,258.200907
1088.0,257.984051
1088.9,257.776051
1090.6,257.701865
1093.0,257.223873
1104.6,257.175083
1105.7,256.817400
1118.4,255.601220
1119.5,255.271636
1131.0,255.199569
1132.1,255.151207
1144.1,255.040241
1145.3,254.948691
1146.6,254.754542
1157.9,254.750901
1159.1,254.311181
1159.9,254.077425
1170.9,253.970057
